Track ID,Track name,Artist name,Popularity score,Release year,Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1uRQzm3P0nRGnSfnuzMTpq,Made For You,OneRepublic,35,2009,Made For You,0.64,0.555,7,-10.204,1,0.0411,0.14,0.0192,0.0981,0.395,122.038,4
07q0QVgO56EorrSGHC48y3,I Was Made For Lovin' You,KISS,80,1979,Made For You,0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,4
0WIv5qV41y6YjjB9V1biuC,Made For Me,Muni Long,78,2023,Made For You,0.796,0.468,7,-6.375,0,0.0324,0.122,0.0,0.118,0.0677,119.98,4
7vF3xkCMvZjAe2nTWY0uQZ,Made For You,Jake Owen,66,2019,Made For You,0.581,0.441,1,-6.829,1,0.0268,0.77,2.75e-05,0.111,0.337,82.125,4
7zVCrzzEJU7u24sbJPXA5W,What Ifs (feat. Lauren Alaina),Kane Brown,70,2016,Made For You,0.612,0.799,10,-4.603,1,0.0275,0.00898,0.0,0.172,0.687,125.976,4
55ikcenXPbQdzCnO1sOuYg,I Was Made For Lovin’ You - from The Fall Guy,YUNGBLUD,72,2024,Made For You,0.333,0.637,2,-8.428,0,0.0427,0.00763,0.0,0.12,0.274,129.868,4
7A237bWglHPhH3nKGgBsRr,Made For Me (with Mariah Carey),Muni Long,60,2024,Made For You,0.675,0.481,7,-6.315,0,0.0336,0.141,0.0,0.0964,0.078,119.783,4
4ZNslVn7r8oRb60a8hYCYk,Memories Are Made Of,Luke Combs,55,2017,Made For You,0.694,0.718,2,-6.188,1,0.0322,0.0159,1.72e-06,0.287,0.368,121.074,4
6SEG8REPRG1T0kVOWTtgTw,Made for You - Radio Edit,Alexander Cardinale,31,2016,Made For You,0.582,0.572,11,-8.389,1,0.029,0.545,0.000141,0.1,0.468,109.011,4
1Xwh83YOFQARZ3QXscP123,I Was Made For Loving You,Tori Kelly,51,2016,Made For You,0.396,0.349,2,-11.984,1,0.0285,0.346,0.0,0.0963,0.197,145.4,4
5XsAal7ZcWg1I5T4NcRjkv,Halley's Comet,Billie Eilish,74,2021,Made For You,0.403,0.159,1,-16.728,0,0.104,0.961,0.0121,0.34,0.0381,72.38,4
44MHQm2WIvsAXg14WKpCQp,Made to Fall in Love,Daniel Caesar,51,2020,Made For You,0.843,0.478,7,-8.969,1,0.0474,0.111,0.216,0.09,0.539,144.002,4
2LxdNADWier3MKTei8FbOY,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),Oliver Heldens,68,2022,Made For You,0.686,0.892,10,-3.186,0,0.0498,0.0577,7.11e-06,0.0838,0.752,126.03,4
40ds3xedbMkWhszkGnZwxi,ART,Tyla,77,2024,Made For You,0.716,0.587,1,-5.52,1,0.0554,0.0853,1.8e-05,0.108,0.714,116.228,4
3Wwcd5hYKCLpocRJfZVdbQ,Made For Heaven,CAIN,47,2023,Made For You,0.554,0.829,2,-5.501,1,0.0388,0.0251,0.0,0.0782,0.35,136.052,4
60c0p6GGnuwdKcQnmuM2zC,I'll Always Remember You,Hannah Montana,61,2010,Made For You,0.418,0.721,8,-2.736,1,0.0383,0.0486,0.0,0.0984,0.233,144.063,4
3rPtS4nfpy7PsARctAWpzd,Best Friend,Rex Orange County,73,2017,Made For You,0.576,0.714,6,-5.247,1,0.0595,0.395,0.0,0.115,0.321,144.981,4
4itBNnY9X9CdLN9ixc4OtT,Made For Me - Sped Up Version,Muni Long,43,2024,Made For You,0.762,0.5,0,-6.848,1,0.0312,0.092,9.12e-06,0.0672,0.145,128.989,4
091d5SFZ7xtM8QV6LLgnBr,I Was Made For Lovin’ You - from The Fall Guy [Orchestral Version],YUNGBLUD,52,2024,Made For You,0.426,0.541,2,-9.448,0,0.033,0.00232,0.000952,0.0734,0.112,125.066,4
5sNESr6pQfIhL3krM8CtZn,Numb / Encore,JAY-Z,75,2004,Made For You,0.687,0.793,2,-4.254,1,0.166,0.0603,0.0,0.582,0.751,107.045,4
0U9MEoRc5mvh5WKM691Kp5,Made For,Will Dempsey,47,2024,Made For You,0.468,0.828,6,-3.4,1,0.0328,0.0539,0.0,0.128,0.65,151.985,4
0h31TZMlv0ZLc5yppKngwk,Memories Are Made Of,Luke Combs,50,2018,Made For You,0.694,0.718,2,-6.188,1,0.0322,0.0159,1.72e-06,0.287,0.368,121.074,4
7DFnq8FYhHMCylykf6ZCxA,Yo (Excuse Me Miss),Chris Brown,70,2005,Made For You,0.536,0.612,4,-5.847,1,0.272,0.119,0.0,0.209,0.57,86.768,4
3CRpRzrEFZDkNA3gM7waoo,Made for Me,Tim Rogers,27,2021,Made For You,0.345,0.573,0,-4.902,1,0.0548,0.0638,0.0,0.353,0.449,65.028,4
15gkmegUbWk1FcRPjX8gq1,My Mistakes Were Made For You,The Last Shadow Puppets,56,2008,Made For You,0.302,0.914,2,-4.724,0,0.0516,0.0344,4.05e-06,0.305,0.758,97.953,4
6PViGgcsQhLPSkMxgoRWLl,Anniversary,Tony! Toni! Toné!,58,1997,Made For You,0.708,0.505,3,-9.675,0,0.0352,0.0478,0.0,0.317,0.548,88.967,4
5QXit6HuEGlXBONUYfZrFk,Made for You,Alex Muscio,17,2024,Made For You,0.747,0.428,1,-18.644,0,0.073,0.0153,0.747,0.11,0.188,126.264,4
0343bYQtSfznf6v90jRLRK,Forever Young,John De Sohn,51,2019,Made For You,0.653,0.621,8,-6.045,1,0.0308,0.178,0.0,0.0952,0.584,121.98,4
0boS4e6uXwp3zAvz1mLxZS,Run Boy Run,Woodkid,72,2013,Made For You,0.506,0.959,5,-5.264,0,0.102,0.084,0.000655,0.135,0.34,133.996,4
0yBmOJp2V0jqauacu6MpGS,Made for Jesus,Issac Mansfield,30,2024,Made For You,0.564,0.49,11,-10.514,1,0.304,0.0332,0.0,0.179,0.434,162.81,4
5YCs9rP6ZcMJW6me3QhtWr,Uber Everywhere (feat. Travis Scott),MadeinTYO,47,2016,Made For You,0.774,0.663,1,-7.283,1,0.12,0.0221,0.0,0.292,0.124,140.043,3
4zvvvHm0b5CBl37tocxm7n,Sunlight,Hozier,59,2019,Made For You,0.464,0.559,7,-4.209,0,0.0287,0.368,0.000176,0.106,0.368,115.349,4
0avIl6Ss5Xa4ybAc3kup4g,Made For Me - Soul Train Performance Live,Muni Long,44,2024,Made For You,0.579,0.735,10,-5.316,1,0.0461,0.178,0.0,0.633,0.278,119.801,4
5de2OkgauRelMCh77ruJjl,I Was Made For Lovin’ You - from The Fall Guy,YUNGBLUD,49,2024,Made For You,0.475,0.63,2,-8.386,0,0.04,0.00672,0.0,0.117,0.298,129.859,4
0EKBV6GybPtALXUgWqWrym,The Story,Brandi Carlile,62,2007,Made For You,0.544,0.5,11,-8.253,1,0.026,0.0325,3.78e-06,0.109,0.177,93.621,4
5nSmmtBhv76X5LOHrLbjaX,MADE 4 U,Yung Kriss,35,2023,Made For You,0.642,0.438,7,-12.326,1,0.247,0.651,0.0,0.215,0.417,125.002,4
4VdlqtrF0vow1jWnZN41HD,I Was Made for Lovin' You,Bossa Nova Covers,57,2021,Made For You,0.743,0.254,9,-16.484,0,0.0448,0.897,0.0011,0.11,0.492,120.06,4
3JjnGLK8IxkNLvo8Lb3KOM,18,One Direction,75,2014,Made For You,0.681,0.582,6,-7.76,0,0.0313,0.22,0.0,0.119,0.221,124.038,4
7x5R9ToA8NqjlLPlypkEyb,Made for Jesus,John Mark Pantana,40,2020,Made For You,0.421,0.0526,11,-16.968,1,0.0382,0.96,0.000347,0.108,0.211,134.301,4
0uuE2usj5bvRqfKlfOu1NZ,I Want (feat. 2 Chainz),MadeinTYO,45,2016,Made For You,0.867,0.618,2,-6.936,1,0.102,0.185,0.00011,0.314,0.191,120.969,4
6jWpo4N1dsdmobusJWI2So,Made For Me,Chuckey Ellis,34,2024,Made For You,0.762,0.374,7,-8.93,0,0.0539,0.134,0.0,0.109,0.0985,120.006,4
1Qf7H7d1TNP8VfPVDRLY0D,For Those About to Rock (We Salute You),AC/DC,46,1986,Made For You,0.371,0.909,4,-5.704,1,0.101,0.000341,0.508,0.0894,0.48,132.885,4
0trHOzAhNpGCsGBEu7dOJo,N.Y. State of Mind,Nas,70,1994,Made For You,0.665,0.91,6,-4.682,0,0.223,0.0394,0.0,0.227,0.887,84.099,4
3cU1L8N85nHKrHEvSx84RX,made for you,renforshort,29,2022,Made For You,0.644,0.745,1,-4.89,1,0.0432,0.145,0.000575,0.203,0.671,162.029,4
0J6stnJiIO8QC6sCQzGZsX,Thank You Jesus - Live,Josh Baldwin,44,2024,Made For You,0.255,0.588,10,-7.472,1,0.0356,0.0174,0.0,0.207,0.244,128.07,3
6futwkldbJdgkrYtAINhn9,Like We Wrote,Lithe,69,2024,Made For You,0.77,0.156,4,-11.724,0,0.0366,0.424,0.0687,0.123,0.34,93.003,4
6v5GlXXeiXTaA60JRxyFHR,Made For Me (with BNYX®) - BNYX® Remix,Muni Long,33,2024,Made For You,0.713,0.639,5,-11.625,0,0.034,0.00556,0.738,0.153,0.324,137.034,4
3QqO9FxVrikwo7kS5ls3kQ,Looks Like We Made It,Barry Manilow,46,1976,Made For You,0.297,0.481,0,-7.681,1,0.0278,0.574,0.00352,0.094,0.456,139.896,4
15BQ7vEDv2LJuh8TxWIhtd,The Passenger,Iggy Pop,70,1977,Made For You,0.498,0.889,0,-5.413,1,0.0544,0.0937,1.62e-06,0.734,0.696,134.882,4
4xIaD9tLO0tqKYKHiwQtPM,Made For Each Other In Hell,Enkay47,31,2024,Made For You,0.753,0.542,4,-9.107,0,0.0623,0.122,1.3e-06,0.22,0.843,119.993,4
1Gu5Iu085zx1Lz6PDno8BN,Put The Money In The Bag,Yuno Miles,51,2021,New Releases,0.911,0.374,6,-11.387,0,0.313,0.0934,0.0,0.0707,0.626,145.147,4
1zOgXnODZUp87IGbF3b8YB,HIND'S HALL,Macklemore,74,2024,New Releases,0.658,0.742,1,-6.475,0,0.241,0.034,0.0,0.0992,0.458,93.117,4
3eluHrktBbrs9qCnfRcJkm,Relieve Him of His Wand / Newt Releases the Thunderbird / Jacob's Farewell,James Newton Howard,26,2016,New Releases,0.117,0.0799,5,-18.385,1,0.0378,0.914,0.902,0.0988,0.0341,85.353,4
49oxuPnuWOL793zpF6zgLQ,Lavish,Twenty One Pilots,73,2024,New Releases,0.702,0.783,4,-4.988,1,0.0434,0.129,0.0,0.35,0.664,99.964,4
07ObLu6AWHkFTqFqAPn60q,I'm Never Gonna Say Goodbye,Wayne Newton,22,2007,New Releases,0.343,0.364,1,-11.873,1,0.0313,0.763,0.0,0.108,0.192,141.206,4
5xR8ngEQmlQ1U2xSE0KzTo,BMXXing,mgk,68,2024,New Releases,0.746,0.839,1,-5.534,1,0.0599,0.0429,1.55e-05,0.147,0.462,105.059,4
50YQbTyU2Rju5OnnDLewTl,Message to the hood,Yuno Miles,16,2021,New Releases,0.77,0.339,11,-14.463,1,0.109,0.144,0.0467,0.0902,0.376,155.466,4
03bOA3BAjZiqJOGyFmWYFz,Friday,The Chainsmokers,64,2024,New Releases,0.657,0.832,1,-6.006,1,0.0408,0.0586,0.0,0.0824,0.365,103.029,4
44o432tFcpotAxuDb09E7W,A New Kind of Assassin,James Ray & The Performance,13,2021,New Releases,0.576,0.918,2,-7.262,1,0.0517,0.0108,0.642,0.125,0.209,120.885,4
0dD82POv7QGJEfLfFQFHUT,it is what it is,Abe Parker,61,2024,New Releases,0.533,0.544,3,-5.732,0,0.0393,0.449,0.0,0.423,0.177,134.495,4
72QWAGZwCKRgrjKTPkXIID,my new releases,Catbreath?,9,2023,New Releases,0.595,0.531,3,-6.573,1,0.0408,0.872,0.00145,0.248,0.557,106.931,4
2GeK971PzUJqSJc7mFVIMI,Anabelle,Shaboozey,56,2024,New Releases,0.73,0.803,4,-5.497,0,0.0397,0.155,0.000753,0.184,0.428,120.967,4
2PyXqwD49Q9Xnu3IsDPQPl,Skyfire,Shogun,29,2011,New Releases,0.584,0.914,1,-4.601,0,0.239,0.0573,0.0818,0.243,0.0674,132.024,4
1lZkGr8MRb1tTsSbpV7zO5,Anxiety,G-Eazy,60,2024,New Releases,0.694,0.714,7,-5.886,1,0.0497,0.000568,7.64e-05,0.692,0.407,132.032,4
0VnlSP1ViYmd2ZKaAPlt5V,new year theme 2,corn wave,14,2019,New Releases,0.155,0.933,6,-5.582,1,0.174,0.231,0.912,0.326,0.271,175.217,4
6FEV8FeTA9kKU2sLTSJw7V,Vegas,Shaboozey,58,2024,New Releases,0.564,0.525,7,-7.449,0,0.0259,0.338,0.000812,0.121,0.228,141.977,4
3YHOAWTC3Pok20zPLWlFJG,Lost For Words - Radio Edit,Giuseppe Ottaviani,25,2012,New Releases,0.492,0.813,11,-9.293,0,0.0308,0.000191,0.0414,0.358,0.163,129.97,4
3qCCQas6tIP15Yjgu3gl9S,All My Life,Tiësto,70,2024,New Releases,0.613,0.963,7,-4.302,1,0.0585,0.00686,0.0176,0.235,0.0795,137.961,4
19eoRTRf0l8vDK7ROCfGko,Relieve Him of His Wand / Newt Releases the Thunderbird / Jacob's Farewell,James Newton Howard,9,2016,New Releases,0.117,0.0799,5,-18.385,1,0.0378,0.914,0.902,0.0988,0.0341,85.353,4
64RZNkFqMF44Ql8dOfesgr,Feels Right (I Love It),Flo Rida,59,2024,New Releases,0.631,0.897,1,-3.038,0,0.0678,0.00218,4.53e-06,0.564,0.855,121.066,4
3FZ7pRHmTda6FqoTIpo4dN,New Transients,Rosentwig,4,2018,New Releases,0.69,0.666,9,-8.988,0,0.0315,0.0393,0.00519,0.0841,0.575,109.98,4
