Track ID,Track name,Artist name,Popularity score,Release year,Genre
07q0QVgO56EorrSGHC48y3,I Was Made For Lovin' You,KISS,80,1979,Made For You
0WIv5qV41y6YjjB9V1biuC,Made For Me,Muni Long,79,2023,Made For You
7vF3xkCMvZjAe2nTWY0uQZ,Made For You,Jake Owen,66,2019,Made For You
7zVCrzzEJU7u24sbJPXA5W,What Ifs (feat. Lauren Alaina),Kane Brown,71,2016,Made For You
55ikcenXPbQdzCnO1sOuYg,I Was Made For Lovin’ You - from The Fall Guy,YUNGBLUD,72,2024,Made For You
7A237bWglHPhH3nKGgBsRr,Made For Me (with Mariah Carey),Muni Long,60,2024,Made For You
4ZNslVn7r8oRb60a8hYCYk,Memories Are Made Of,Luke Combs,55,2017,Made For You
6SEG8REPRG1T0kVOWTtgTw,Made for You - Radio Edit,Alexander Cardinale,31,2016,Made For You
1Xwh83YOFQARZ3QXscP123,I Was Made For Loving You,Tori Kelly,51,2016,Made For You
5XsAal7ZcWg1I5T4NcRjkv,Halley's Comet,Billie Eilish,74,2021,Made For You
44MHQm2WIvsAXg14WKpCQp,Made to Fall in Love,Daniel Caesar,51,2020,Made For You
2LxdNADWier3MKTei8FbOY,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),Oliver Heldens,68,2022,Made For You
40ds3xedbMkWhszkGnZwxi,ART,Tyla,77,2024,Made For You
3Wwcd5hYKCLpocRJfZVdbQ,Made For Heaven,CAIN,47,2023,Made For You
60c0p6GGnuwdKcQnmuM2zC,I'll Always Remember You,Hannah Montana,62,2010,Made For You
3rPtS4nfpy7PsARctAWpzd,Best Friend,Rex Orange County,73,2017,Made For You
4itBNnY9X9CdLN9ixc4OtT,Made For Me - Sped Up Version,Muni Long,43,2024,Made For You
091d5SFZ7xtM8QV6LLgnBr,I Was Made For Lovin’ You - from The Fall Guy [Orchestral Version],YUNGBLUD,52,2024,Made For You
5sNESr6pQfIhL3krM8CtZn,Numb / Encore,JAY-Z,75,2004,Made For You
0U9MEoRc5mvh5WKM691Kp5,Made For,Will Dempsey,48,2024,Made For You
0h31TZMlv0ZLc5yppKngwk,Memories Are Made Of,Luke Combs,51,2018,Made For You
7DFnq8FYhHMCylykf6ZCxA,Yo (Excuse Me Miss),Chris Brown,71,2005,Made For You
3CRpRzrEFZDkNA3gM7waoo,Made for Me,Tim Rogers,27,2021,Made For You
15gkmegUbWk1FcRPjX8gq1,My Mistakes Were Made For You,The Last Shadow Puppets,57,2008,Made For You
6PViGgcsQhLPSkMxgoRWLl,Anniversary,Tony! Toni! Toné!,59,1997,Made For You
5QXit6HuEGlXBONUYfZrFk,Made for You,Alex Muscio,18,2024,Made For You
0343bYQtSfznf6v90jRLRK,Forever Young,John De Sohn,52,2019,Made For You
0boS4e6uXwp3zAvz1mLxZS,Run Boy Run,Woodkid,72,2013,Made For You
0yBmOJp2V0jqauacu6MpGS,Made for Jesus,Issac Mansfield,30,2024,Made For You
